Season,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS,RSorPO,player_id
2003-04,19,79,79,3122,622,1492,0.417,63,217,0.29,347,460,0.754,99,333,465,130,58,273,1654,"Regular Season","Lebron James"
2004-05,20,80,80,3388,795,1684,0.472,108,308,0.351,477,636,0.75,111,477,577,177,52,262,2175,"Regular Season","Lebron James"
2005-06,21,79,79,3361,875,1823,0.48,127,379,0.335,601,814,0.738,75,481,521,123,66,260,2478,"Regular Season","Lebron James"
2006-07,22,78,78,3190,772,1621,0.476,99,310,0.319,489,701,0.698,83,443,470,125,55,250,2132,"Regular Season","Lebron James"
2007-08,23,75,74,3027,794,1642,0.484,113,359,0.315,549,771,0.712,133,459,539,138,81,255,2250,"Regular Season","Lebron James"
2008-09,24,81,81,3054,789,1613,0.489,132,384,0.344,594,762,0.78,106,507,587,137,93,241,2304,"Regular Season","Lebron James"
2009-10,25,76,76,2966,768,1528,0.503,129,387,0.333,593,773,0.767,71,483,651,125,77,261,2258,"Regular Season","Lebron James"
2010-11,26,79,79,3063,758,1485,0.51,92,279,0.33,503,663,0.759,80,510,554,124,50,284,2111,"Regular Season","Lebron James"
2011-12,27,62,62,2326,621,1169,0.531,54,149,0.362,387,502,0.771,94,398,387,115,50,213,1683,"Regular Season","Lebron James"
2012-13,28,76,76,2877,765,1354,0.565,103,254,0.406,403,535,0.753,97,513,551,129,67,226,2036,"Regular Season","Lebron James"
2013-14,29,77,77,2902,767,1353,0.567,116,306,0.379,439,585,0.75,81,452,488,121,26,270,2089,"Regular Season","Lebron James"
2014-15,30,69,69,2493,624,1279,0.488,120,339,0.354,375,528,0.71,51,365,511,109,49,272,1743,"Regular Season","Lebron James"
2015-16,31,76,76,2709,737,1416,0.52,87,282,0.309,359,491,0.731,111,454,514,104,49,249,1920,"Regular Season","Lebron James"
2016-17,32,74,74,2794,736,1344,0.548,124,342,0.363,358,531,0.674,97,542,646,92,44,303,1954,"Regular Season","Lebron James"
2017-18,33,82,82,3026,857,1580,0.542,149,406,0.367,388,531,0.731,97,612,747,116,71,347,2251,"Regular Season","Lebron James"
2018-19,34,55,55,1937,558,1095,0.51,111,327,0.339,278,418,0.665,57,408,454,72,33,197,1505,"Regular Season","Lebron James"
2005-06,21,13,13,604,146,307,0.476,21,63,0.333,87,118,0.737,22,83,76,18,9,65,400,Playoffs,"Lebron James"
2006-07,22,20,20,893,166,399,0.416,21,75,0.28,148,196,0.755,26,135,159,34,10,66,501,Playoffs,"Lebron James"
2007-08,23,13,13,552,113,275,0.411,18,70,0.257,122,167,0.731,16,86,99,23,17,54,366,Playoffs,"Lebron James"
2008-09,24,14,14,580,159,312,0.51,27,81,0.333,149,199,0.749,19,109,102,23,12,38,494,Playoffs,"Lebron James"
2009-10,25,11,11,460,106,211,0.502,20,50,0.4,88,120,0.733,15,87,84,19,20,42,320,Playoffs,"Lebron James"
2010-11,26,21,21,922,174,373,0.466,30,85,0.353,119,156,0.763,34,142,123,35,25,66,497,Playoffs,"Lebron James"
2011-12,27,23,23,983,251,502,0.5,22,85,0.259,173,234,0.739,54,170,129,43,16,81,697,Playoffs,"Lebron James"
2012-13,28,23,23,960,212,432,0.491,36,96,0.375,136,175,0.777,37,156,152,41,18,70,596,Playoffs,"Lebron James"
2013-14,29,20,20,763,192,340,0.565,35,86,0.407,129,160,0.806,14,127,95,36,11,61,548,Playoffs,"Lebron James"
2014-15,30,20,20,844,227,544,0.417,25,110,0.227,122,167,0.731,37,189,169,33,21,82,601,Playoffs,"Lebron James"
2015-16,31,21,21,822,219,417,0.525,32,94,0.34,82,124,0.661,42,158,160,49,27,75,552,Playoffs,"Lebron James"
2016-17,32,18,18,744,217,384,0.565,44,107,0.411,113,162,0.698,19,145,141,35,23,72,591,Playoffs,"Lebron James"
2017-18,33,22,22,922,275,510,0.539,39,114,0.342,159,213,0.746,31,169,198,30,23,94,748,Playoffs,"Lebron James"
1984-85,21,82,82,3144,837,1625,0.515,9,52,0.173,630,746,0.845,167,367,481,196,69,291,2313,"Regular Season","Michael Jordan"
1985-86,22,18,7,451,150,328,0.457,3,18,0.167,105,125,0.84,23,41,53,37,21,45,408,"Regular Season","Michael Jordan"
1986-87,23,82,82,3281,1098,2279,0.482,12,66,0.182,833,972,0.857,166,264,377,236,125,272,3041,"Regular Season","Michael Jordan"
1987-88,24,82,82,3311,1069,1998,0.535,7,53,0.132,723,860,0.841,139,310,485,259,131,252,2868,"Regular Season","Michael Jordan"
1988-89,25,81,81,3255,966,1795,0.538,27,98,0.276,674,793,0.85,149,503,650,234,65,290,2633,"Regular Season","Michael Jordan"
1989-90,26,82,82,3197,1034,1964,0.526,92,245,0.376,593,699,0.848,143,422,519,227,54,247,2753,"Regular Season","Michael Jordan"
1990-91,27,82,82,3034,990,1837,0.539,29,93,0.312,571,671,0.851,118,374,453,223,83,202,2580,"Regular Season","Michael Jordan"
1991-92,28,80,80,3102,943,1818,0.519,27,100,0.27,491,590,0.832,91,420,489,182,75,200,2404,"Regular Season","Michael Jordan"
1992-93,29,78,78,3067,992,2003,0.495,81,230,0.352,476,569,0.837,135,387,428,221,61,207,2541,"Regular Season","Michael Jordan"
1994-95,31,17,17,668,166,404,0.411,16,32,0.5,109,136,0.801,25,92,90,30,13,35,457,"Regular Season","Michael Jordan"
1995-96,32,82,82,3090,916,1850,0.495,111,260,0.427,548,657,0.834,148,395,352,180,42,197,2491,"Regular Season","Michael Jordan"
