Season,Age,MP,PER,TS%,3PAr,FTr,player_id
2003-04,19,3122,18.3,0.488,0.145,0.308,"Lebron James"
2004-05,20,3388,25.7,0.554,0.183,0.378,"Lebron James"
2005-06,21,3361,28.1,0.568,0.208,0.447,"Lebron James"
2006-07,22,3190,24.5,0.552,0.191,0.432,"Lebron James"
2007-08,23,3027,29.1,0.568,0.219,0.47,"Lebron James"
2008-09,24,3054,31.7,0.591,0.238,0.472,"Lebron James"
2009-10,25,2966,31.1,0.604,0.253,0.506,"Lebron James"
2010-11,26,3063,27.3,0.594,0.188,0.446,"Lebron James"
2011-12,27,2326,30.7,0.605,0.127,0.429,"Lebron James"
2012-13,28,2877,31.6,0.64,0.188,0.395,"Lebron James"
2013-14,29,2902,29.3,0.649,0.226,0.432,"Lebron James"
2014-15,30,2493,25.9,0.577,0.265,0.413,"Lebron James"
2015-16,31,2709,27.5,0.588,0.199,0.347,"Lebron James"
2016-17,32,2794,27,0.619,0.254,0.395,"Lebron James"
2017-18,33,3026,28.6,0.621,0.257,0.336,"Lebron James"
2018-19,34,1937,25.6,0.588,0.299,0.382,"Lebron James"
2005-06,21,604,23.2,0.557,0.205,0.384,"Lebron James"
2006-07,22,893,23.9,0.516,0.188,0.491,"Lebron James"
2007-08,23,552,24.3,0.525,0.255,0.607,"Lebron James"
2008-09,24,580,37.4,0.618,0.26,0.638,"Lebron James"
2009-10,25,460,28.6,0.607,0.237,0.569,"Lebron James"
2010-11,26,922,23.7,0.563,0.228,0.418,"Lebron James"
2011-12,27,983,30.3,0.576,0.169,0.466,"Lebron James"
2012-13,28,960,28.1,0.585,0.222,0.405,"Lebron James"
2013-14,29,763,31.1,0.668,0.253,0.471,"Lebron James"
2014-15,30,844,25.3,0.487,0.202,0.307,"Lebron James"
2015-16,31,822,30,0.585,0.225,0.297,"Lebron James"
2016-17,32,744,30.1,0.649,0.279,0.422,"Lebron James"
2017-18,33,922,32.2,0.619,0.224,0.418,"Lebron James"
1984-85,21,3144,25.8,0.592,0.032,0.459,"Michael Jordan"
1985-86,22,451,27.5,0.533,0.055,0.381,"Michael Jordan"
1986-87,23,3281,29.8,0.562,0.029,0.427,"Michael Jordan"
1987-88,24,3311,31.7,0.603,0.027,0.43,"Michael Jordan"
1988-89,25,3255,31.1,0.614,0.055,0.442,"Michael Jordan"
1989-90,26,3197,31.2,0.606,0.125,0.356,"Michael Jordan"
1990-91,27,3034,31.6,0.605,0.051,0.365,"Michael Jordan"
1991-92,28,3102,27.7,0.579,0.055,0.325,"Michael Jordan"
1992-93,29,3067,29.7,0.564,0.115,0.284,"Michael Jordan"
1994-95,31,668,22.1,0.493,0.079,0.337,"Michael Jordan"
1995-96,32,3090,29.4,0.582,0.141,0.355,"Michael Jordan"
1996-97,33,3106,27.8,0.567,0.157,0.304,"Michael Jordan"
1997-98,34,3181,25.2,0.533,0.067,0.381,"Michael Jordan"
2001-02,38,2093,20.7,0.468,0.04,0.252,"Michael Jordan"
2002-03,39,3031,19.3,0.491,0.036,0.212,"Michael Jordan"
1984-85,21,171,24.7,0.565,0.103,0.744,"Michael Jordan"
1985-86,22,135,30.1,0.584,0.011,0.411,"Michael Jordan"
1986-87,23,128,28.1,0.529,0.06,0.464,"Michael Jordan"
1987-88,24,427,28.4,0.598,0.012,0.381,"Michael Jordan"
1988-89,25,718,29.9,0.602,0.09,0.587,"Michael Jordan"
1989-90,26,674,31.7,0.592,0.117,0.373,"Michael Jordan"
1990-91,27,689,32,0.6,0.069,0.394,"Michael Jordan"
1991-92,28,920,27.2,0.571,0.076,0.325,"Michael Jordan"
1992-93,29,783,30.1,0.553,0.136,0.32,"Michael Jordan"
1994-95,31,420,24.8,0.557,0.121,0.319,"Michael Jordan"
1995-96,32,733,26.7,0.564,0.152,0.459,"Michael Jordan"
1996-97,33,804,27.1,0.524,0.135,0.297,"Michael Jordan"
1997-98,34,872,28.1,0.545,0.082,0.424,"Michael Jordan"
1996-97,18,1103,14.4,0.544,0.322,0.393,"Kobe Bryant"
1997-98,19,2056,18.5,0.548,0.241,0.501,"Kobe Bryant"
1998-99,20,1896,18.9,0.549,0.13,0.375,"Kobe Bryant"
1999-00,21,2524,21.7,0.546,0.122,0.341,"Kobe Bryant"
2000-01,22,2783,24.5,0.552,0.132,0.369,"Kobe Bryant"
2001-02,23,3063,23.2,0.544,0.083,0.369,"Kobe Bryant"
2002-03,24,3401,26.2,0.55,0.168,0.371,"Kobe Bryant"
2003-04,25,2447,23.7,0.551,0.184,0.452,"Kobe Bryant"
2004-05,26,2689,23.3,0.563,0.292,0.502,"Kobe Bryant"
2005-06,27,3277,28,0.559,0.238,0.377,"Kobe Bryant"
2006-07,28,3140,26.1,0.58,0.227,0.437,"Kobe Bryant"
2007-08,29,3192,24.2,0.576,0.246,0.439,"Kobe Bryant"
2008-09,30,2960,24.4,0.561,0.196,0.329,"Kobe Bryant"
2009-10,31,2835,21.9,0.545,0.192,0.345,"Kobe Bryant"
2010-11,32,2779,23.9,0.548,0.217,0.356,"Kobe Bryant"
2011-12,33,2232,21.9,0.527,0.215,0.338,"Kobe Bryant"
2012-13,34,3013,23,0.57,0.255,0.392,"Kobe Bryant"
2013-14,35,177,10.7,0.505,0.219,0.288,"Kobe Bryant"
2014-15,36,1207,17.6,0.477,0.258,0.338,"Kobe Bryant"
2015-16,37,1863,14.9,0.469,0.42,0.252,"Kobe Bryant"
1996-97,18,133,12.5,0.543,0.418,0.545,"Kobe Bryant"
1997-98,19,220,12.8,0.501,0.184,0.592,"Kobe Bryant"
1998-99,20,315,19.1,0.502,0.162,0.246,"Kobe Bryant"
1999-00,21,857,19.3,0.517,0.162,0.32,"Kobe Bryant"
2000-01,22,694,25,0.555,0.095,0.422,"Kobe Bryant"
2001-02,23,833,20.5,0.511,0.135,0.336,"Kobe Bryant"
2002-03,24,531,22.2,0.531,0.196,0.328,"Kobe Bryant"
2003-04,25,973,21,0.506,0.211,0.361,"Kobe Bryant"
2005-06,27,314,19.9,0.587,0.241,0.331,"Kobe Bryant"
2006-07,28,215,24.1,0.561,0.215,0.285,"Kobe Bryant"
2007-08,29,863,25,0.577,0.229,0.419,"Kobe Bryant"
2008-09,30,940,26.8,0.564,0.2,0.372,"Kobe Bryant"
2009-10,31,923,24.7,0.567,0.256,0.358,"Kobe Bryant"
2010-11,32,354,20.6,0.536,0.22,0.328,"Kobe Bryant"
