Season,Age,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,player_id
2003-04,19,15,29,5,10,16,18,5,14,13,6,5,8,41,"Lebron James"
2004-05,20,18,36,7,13,15,22,5,17,15,7,3,10,56,"Lebron James"
2005-06,21,19,35,6,11,24,28,4,11,12,6,4,7,52,"Lebron James"
2006-07,22,17,31,4,9,19,23,4,15,12,4,3,9,41,"Lebron James"
2007-08,23,18,32,7,13,16,23,5,14,14,6,4,8,51,"Lebron James"
2008-09,24,17,33,8,11,16,22,6,11,14,5,4,8,55,"Lebron James"
2009-10,25,17,33,6,12,17,22,4,13,15,5,4,8,48,"Lebron James"
2010-11,26,17,30,5,10,17,22,3,11,14,6,3,9,51,"Lebron James"
2011-12,27,16,27,4,7,15,19,7,12,13,5,3,8,41,"Lebron James"
2012-13,28,17,31,7,10,15,16,7,12,16,6,4,7,40,"Lebron James"
2013-14,29,22,33,8,10,14,15,4,13,13,6,3,8,61,"Lebron James"
2014-15,30,17,35,4,12,14,21,3,11,14,5,3,9,42,"Lebron James"
2015-16,31,15,29,5,11,12,17,6,13,13,4,3,9,37,"Lebron James"
2016-17,32,17,29,6,11,14,16,5,14,17,4,3,8,44,"Lebron James"
2017-18,33,23,34,6,11,13,15,5,15,19,6,4,11,57,"Lebron James"
2018-19,34,19,31,6,10,13,15,4,13,16,4,3,8,51,"Lebron James"
2005-06,21,16,30,7,12,17,18,5,12,11,4,3,10,45,"Lebron James"
2006-07,22,18,33,3,7,14,19,4,12,12,4,2,6,48,"Lebron James"
2007-08,23,14,29,3,11,15,19,3,11,13,4,3,10,45,"Lebron James"
2008-09,24,20,30,5,10,18,24,3,12,12,4,3,8,49,"Lebron James"
2009-10,25,16,26,6,9,10,15,3,16,11,3,4,9,40,"Lebron James"
2010-11,26,14,28,5,7,13,14,4,14,10,4,5,6,35,"Lebron James"
2011-12,27,19,27,2,6,18,24,6,13,13,6,3,8,45,"Lebron James"
2012-13,28,15,26,5,10,15,16,4,16,11,4,3,6,37,"Lebron James"
2013-14,29,16,24,4,9,15,19,3,10,9,5,3,7,49,"Lebron James"
2014-15,30,18,38,3,10,14,18,8,15,14,4,3,8,44,"Lebron James"
2015-16,31,16,30,4,8,9,17,5,12,11,5,3,7,41,"Lebron James"
2016-17,32,19,30,6,12,15,21,3,12,14,4,4,8,41,"Lebron James"
2017-18,33,19,33,5,11,15,15,4,15,14,4,2,8,51,"Lebron James"
1984-85,21,20,33,2,5,14,17,7,12,16,6,5,7,49,"Michael Jordan"
1985-86,22,13,36,2,3,15,16,4,5,7,7,3,7,33,"Michael Jordan"
1986-87,23,22,43,2,5,26,27,8,9,10,8,6,7,61,"Michael Jordan"
1987-88,24,21,38,1,3,17,20,6,10,13,10,5,7,59,"Michael Jordan"
1988-89,25,24,33,3,5,18,22,6,13,17,9,4,8,53,"Michael Jordan"
1989-90,26,23,43,7,12,21,23,8,11,13,8,3,8,69,"Michael Jordan"
1990-91,27,18,36,3,5,17,19,8,13,12,8,3,7,46,"Michael Jordan"
1991-92,28,21,39,3,5,14,15,6,13,14,6,3,7,51,"Michael Jordan"
1992-93,29,27,49,6,8,21,24,5,11,12,9,4,7,64,"Michael Jordan"
1994-95,31,21,37,4,4,13,16,4,11,9,5,2,4,55,"Michael Jordan"
1995-96,32,21,32,5,8,14,19,6,14,8,6,3,8,53,"Michael Jordan"
1996-97,33,19,35,5,8,19,20,8,11,12,5,4,8,51,"Michael Jordan"
1997-98,34,18,39,3,6,22,24,7,13,9,5,3,7,49,"Michael Jordan"
2001-02,38,21,38,1,4,12,16,4,12,11,5,2,9,51,"Michael Jordan"
2002-03,39,18,33,3,4,13,16,5,13,12,6,3,9,45,"Michael Jordan"
1984-85,21,12,26,1,4,17,20,3,5,12,4,3,7,35,"Michael Jordan"
1985-86,22,22,41,1,1,19,21,4,6,9,3,2,5,63,"Michael Jordan"
1986-87,23,14,30,2,3,12,14,6,6,7,4,4,4,42,"Michael Jordan"
1987-88,24,24,45,1,2,15,18,5,7,9,6,2,7,55,"Michael Jordan"
1988-89,25,18,34,2,6,23,28,5,13,13,6,4,8,50,"Michael Jordan"
1989-90,26,20,36,4,11,16,19,4,9,11,6,3,7,49,"Michael Jordan"
1990-91,27,20,34,3,5,13,15,4,15,13,6,5,6,46,"Michael Jordan"
1991-92,28,21,34,6,10,16,19,8,10,11,4,3,7,56,"Michael Jordan"
1992-93,29,21,43,6,9,16,18,5,8,14,5,4,5,55,"Michael Jordan"
1994-95,31,18,32,3,6,11,11,4,8,8,4,4,8,48,"Michael Jordan"
1995-96,32,17,35,3,7,15,16,3,7,8,4,1,5,46,"Michael Jordan"
